-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  36.5761   Longitude -120.9876 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 476.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,9.65,9.09,8.98,12.03,15.05,22.49,23.44,22.83,20.65,14.41,11.73,8.71,14.95
T2M,1982,5.51,8.34,7.76,10.09,14.37,16.7,21.27,22.08,19.51,15.3,9.52,6.86,13.14
T2M,1983,8.44,8.92,9.08,9.15,13.6,16.87,19.93,22.55,21.98,16.51,9.92,8.23,13.8
T2M,1984,8.48,8.34,10.31,10.58,17.44,19.08,25.12,22.51,23.18,13.76,9.18,5.95,14.51
T2M,1985,6.74,8.57,7.62,14.19,14.18,22.4,24.84,21.46,17.87,15.3,9.08,8.9,14.29
T2M,1986,10.31,9.8,11.55,10.93,14.69,20.01,22.08,23.43,17.27,16.33,13.13,9.2,14.93
T2M,1987,6.76,8.55,9.47,14.65,17.3,20.87,19.36,22.9,21.24,18.76,10.75,6.35,14.77
T2M,1988,7.91,9.98,11.25,13.2,14.45,19.26,25.03,22.99,21.37,18.14,10.83,7.67,15.19
T2M,1989,6.61,6.48,10.3,14.45,14.73,19.55,21.46,21.08,18.88,15.65,12.34,10.23,14.36
T2M,1990,7.49,7.13,10.25,14.2,14.87,18.83,23.4,22.58,19.65,17.68,12.1,6.12,14.57
T2M,1991,8.32,11.81,7.65,10.19,13.02,17.1,23.28,20.57,22.33,19.62,11.99,8.99,14.58
T2M,1992,7.93,10.33,10.0,13.4,18.01,19.64,22.22,23.98,20.97,18.08,11.75,6.99,15.29
T2M,1993,7.35,7.73,11.44,11.37,14.9,19.24,21.58,22.02,20.69,17.59,11.51,8.17,14.51
T2M,1994,9.2,7.29,10.96,12.37,14.59,19.3,22.28,21.86,20.01,15.55,7.71,6.97,14.05
T2M,1995,8.76,11.2,9.48,10.7,12.82,17.14,21.84,22.87,20.22,18.17,14.58,9.53,14.8
T2M,1996,9.04,9.92,10.82,12.98,14.84,19.05,25.44,24.27,19.76,15.58,11.35,8.96,15.19
T2M,1997,8.14,8.3,11.17,12.47,18.73,18.58,21.98,22.26,21.36,15.86,12.55,6.69,14.88
T2M,1998,8.8,7.63,9.77,10.19,11.19,15.46,21.79,24.45,20.58,14.8,10.01,5.98,13.43
T2M,1999,8.12,7.22,7.52,9.99,12.75,17.12,20.82,20.45,21.54,18.76,12.21,8.8,13.81
T2M,2000,8.68,8.87,9.16,12.31,15.48,21.05,20.01,22.3,20.29,14.84,8.73,9.68,14.3
T2M,2001,7.17,6.94,10.89,9.87,19.3,20.76,21.75,21.82,20.37,17.94,12.26,7.87,14.8
T2M,2002,6.32,9.35,9.37,12.23,14.46,18.67,22.9,21.83,21.87,15.87,12.57,8.62,14.53
T2M,2003,10.93,8.38,10.52,9.69,14.9,19.17,24.5,21.96,22.29,18.75,9.64,8.5,14.98
T2M,2004,7.57,7.87,13.57,13.47,15.7,18.67,22.23,22.15,20.81,15.29,9.87,8.58,14.67
T2M,2005,8.17,9.44,11.03,10.59,14.77,16.76,24.49,24.03,18.73,16.29,13.28,9.87,14.83
T2M,2006,7.75,9.18,7.05,10.81,15.01,20.2,25.71,21.51,20.76,15.78,11.44,8.4,14.49
T2M,2007,6.07,8.82,12.04,12.57,16.08,19.58,22.19,22.62,18.87,14.97,12.69,6.55,14.45
T2M,2008,6.55,8.23,9.6,11.51,15.25,20.85,22.97,23.16,21.74,17.77,12.87,7.16,14.82
T2M,2009,9.06,8.24,9.24,11.31,17.05,18.54,23.14,22.65,22.57,14.58,10.66,7.22,14.56
T2M,2010,8.94,8.74,9.44,9.58,12.06,17.43,21.46,20.58,21.17,16.81,10.51,8.71,13.82
T2M,2011,8.37,6.99,9.01,10.42,11.92,16.3,21.08,21.12,22.85,16.62,10.1,7.48,13.56
T2M,2012,9.03,8.58,9.37,12.12,15.23,18.58,21.65,23.86,21.42,16.94,12.46,7.39,14.73
T2M,2013,6.78,7.66,10.98,13.97,16.35,20.9,23.33,21.33,19.51,15.96,12.61,8.83,14.89
T2M,2014,12.45,10.05,12.02,13.52,17.3,20.62,24.74,22.83,21.39,19.09,12.99,9.7,16.44
T2M,2015,10.33,12.26,13.53,13.23,14.58,21.94,22.63,22.48,21.76,19.38,9.95,7.31,15.8
T2M,2016,8.96,11.34,11.31,13.51,16.21,21.87,23.15,22.05,20.65,16.15,12.4,7.85,15.46
T2M,2017,7.08,9.11,11.12,12.12,16.26,20.81,24.9,24.55,21.9,17.84,12.74,9.79,15.73
T2M,2018,10.71,9.58,10.18,13.07,15.4,20.48,25.52,23.01,20.44,17.44,13.94,8.42,15.72
T2M,2019,9.24,6.48,9.68,14.05,14.02,21.14,22.59,23.59,20.96,16.8,13.58,8.83,15.12
T2M,2020,8.08,10.18,9.5,12.76,17.51,20.94,22.29,24.6,23.08,20.79,11.84,9.45,15.94
QV2M,1981,5.31,5.55,5.92,6.23,6.29,5.74,4.58,5.86,6.16,5.19,6.59,6.1,5.8
QV2M,1982,4.64,5.98,5.74,6.29,7.32,6.84,6.41,6.16,6.16,5.86,5.25,5.13,5.98
QV2M,1983,5.62,6.29,6.59,6.1,7.51,7.57,6.65,7.26,6.53,7.2,6.41,6.41,6.65
QV2M,1984,5.43,5.55,6.04,5.49,6.04,5.62,5.49,6.53,5.8,6.35,5.86,5.13,5.8
QV2M,1985,4.64,5.37,5.19,6.29,5.68,5.74,5.43,5.86,6.47,5.25,4.88,4.94,5.49
QV2M,1986,6.16,6.9,7.26,6.41,6.65,6.16,6.04,5.37,6.23,5.55,4.21,4.58,5.98
QV2M,1987,4.64,5.07,5.74,5.92,6.65,5.25,6.53,5.74,6.04,6.29,5.98,5.19,5.74
QV2M,1988,5.25,5.37,5.25,5.49,5.8,6.59,6.53,6.71,5.31,5.74,6.1,4.46,5.74
QV2M,1989,4.39,5.07,6.65,6.96,6.53,6.29,5.98,6.16,6.35,5.98,5.13,4.09,5.8
QV2M,1990,5.0,4.76,5.92,6.35,5.98,6.53,6.65,7.08,7.2,5.13,4.27,3.36,5.68
QV2M,1991,4.46,5.55,5.68,6.04,6.04,6.1,6.65,7.39,6.59,5.74,5.25,4.58,5.86
QV2M,1992,4.94,6.47,6.96,7.39,7.81,7.2,7.57,6.59,6.35,6.96,5.25,5.0,6.53
QV2M,1993,5.68,5.98,7.39,6.9,7.51,6.71,6.71,6.59,6.16,6.04,4.27,4.88,6.23
QV2M,1994,4.82,5.13,6.16,6.23,6.71,5.62,5.8,6.29,7.14,5.8,4.64,5.07,5.8
QV2M,1995,6.77,7.2,6.59,6.71,7.51,7.14,7.45,6.29,6.84,5.49,6.35,6.23,6.71
QV2M,1996,5.86,7.08,6.71,7.14,7.2,6.65,6.35,5.98,5.86,5.74,6.23,6.35,6.41
QV2M,1997,6.29,5.86,6.71,6.53,7.14,6.9,7.2,7.57,7.32,5.86,6.53,5.07,6.59
QV2M,1998,6.77,6.29,6.71,6.53,7.02,8.18,7.63,6.59,7.87,5.74,6.16,4.52,6.65
QV2M,1999,5.19,5.55,5.62,5.86,6.35,6.41,6.23,7.08,6.47,5.37,5.98,4.27,5.86
QV2M,2000,6.1,6.53,6.1,6.84,7.2,7.08,6.59,6.71,6.71,6.71,5.25,5.19,6.41
